frame,images_centroid_x,images_centroid_y,images_delta_x,images_delta_y,images_distance,images2_centroid_x,images2_centroid_y,images2_delta_x,images2_delta_y,images2_distance,timestamp_s
324,17,18,0,0,0,17,16,0,-2,2,16.2
325,17,18,0,0,0,17,18,0,2,2,16.25
326,18,16,1,-2,2.236067977,17,18,0,0,0,16.3
327,18,18,0,2,2,17,17,0,-1,1,16.35
328,18,18,0,0,0,18,17,1,0,1,16.4
329,18,18,0,0,0,17,17,-1,0,1,16.45
330,17,18,-1,0,1,18,16,1,-1,1.414213562,16.5
331,18,18,1,0,1,17,18,-1,2,2.236067977,16.55
332,17,19,-1,1,1.414213562,16,17,-1,-1,1.414213562,16.6
333,16,19,-1,0,1,17,15,1,-2,2.236067977,16.65
334,18,18,2,-1,2.236067977,17,17,0,2,2,16.7
335,19,17,1,-1,1.414213562,17,18,0,1,1,16.75
336,17,19,-2,2,2.828427125,17,17,0,-1,1,16.8
337,18,18,1,-1,1.414213562,16,18,-1,1,1.414213562,16.85
338,17,17,-1,-1,1.414213562,18,19,2,1,2.236067977,16.9
339,19,19,2,2,2.828427125,15,18,-3,-1,3.16227766,16.95
340,,,,,,15,17,0,-1,1,17
341,17,19,-2,0,2,16,18,1,1,1.414213562,17.05
342,18,17,1,-2,2.236067977,16,17,0,-1,1,17.1
343,18,17,0,0,0,15,17,-1,0,1,17.15
344,18,16,0,-1,1,16,17,1,0,1,17.2
345,17,18,-1,2,2.236067977,16,17,0,0,0,17.25
346,17,19,0,1,1,16,17,0,0,0,17.3
347,18,18,1,-1,1.414213562,16,14,0,-3,3,17.35
348,17,19,-1,1,1.414213562,15,18,-1,4,4.123105626,17.4
349,15,17,-2,-2,2.828427125,15,14,0,-4,4,17.45
350,17,16,2,-1,2.236067977,14,17,-1,3,3.16227766,17.5
351,15,18,-2,2,2.828427125,15,17,1,0,1,17.55
352,16,18,1,0,1,14,19,-1,2,2.236067977,17.6
353,16,17,0,-1,1,17,17,3,-2,3.605551275,17.65
354,16,17,0,0,0,16,18,-1,1,1.414213562,17.7
355,16,18,0,1,1,16,18,0,0,0,17.75
356,16,18,0,0,0,,,,,,17.8
357,16,18,0,0,0,15,19,-1,1,1.414213562,17.85
358,15,18,-1,0,1,15,16,0,-3,3,17.9
359,15,18,0,0,0,15,17,0,1,1,17.95
360,16,19,1,1,1.414213562,14,17,-1,0,1,18
361,15,19,-1,0,1,15,17,1,0,1,18.05
362,15,19,0,0,0,15,18,0,1,1,18.1
363,16,18,1,-1,1.414213562,11,6,-4,-12,12.64911064,18.15
364,16,18,0,0,0,16,18,5,12,13,18.2
